City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
16,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,Muscat International Hotel
17,Rikitea,PF,78.76,moderate rain,-23.1203,-134.9692,Chez Bianca & Benoit
22,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,losmen Surya
24,Tuy Hoa,VN,85.05,scattered clouds,13.0833,109.3,Vinh Tuan Hotel
30,Vaitape,PF,82.44,overcast clouds,-16.5167,-151.75,Oa Oa Lodge
31,Avarua,CK,77.05,heavy intensity rain,-21.2078,-159.775,Paradise Inn
50,Namibe,AO,75.09,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
66,Matara,LK,88.36,scattered clouds,5.9485,80.5353,Villa Palm Breeze
67,Vaini,TO,78.96,light intensity shower rain,-21.2,-175.2,Keleti International Resort
70,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Tropic Hotel
72,Mahebourg,MU,85.24,scattered clouds,-20.4081,57.7,Grand Bel Air
74,Mackay,AU,79.97,clear sky,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
80,Balkanabat,TM,77.0,overcast clouds,39.5108,54.3671,Nebitçi
81,Mayumba,GA,77.0,light rain,-3.432,10.6554,Résidence Hôtelière Fabso
83,Sur,OM,85.06,clear sky,22.5667,59.5289,Sur Hotel
90,Mecca,SA,76.19,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
92,Namatanai,PG,83.79,scattered clouds,-3.6667,152.4333,Namatanai Hotel
102,Souillac,MU,82.78,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
103,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
106,Hilo,US,75.27,light rain,19.7297,-155.09,Dolphin Bay Hotel
112,Puerto Ayora,EC,80.55,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
117,Atuona,PF,81.01,broken clouds,-9.8,-139.0333,Pearl Resort
119,Bengkulu,ID,85.06,overcast clouds,-3.8004,102.2655,Dena Hotel
124,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Prainha
126,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Central Hôtel
127,Celestun,MX,78.04,few clouds,20.8667,-90.4,Hotel Flamingo Playa
128,Beira,MZ,78.89,light rain,-19.8436,34.8389,Hotel Savoy
134,Mitsamiouli,KM,83.57,light rain,-11.3847,43.2844,Hotel le Paradis
145,Grand Gaube,MU,85.37,few clouds,-20.0064,57.6608,Coco Villa
147,Vanimo,PG,84.42,overcast clouds,-2.6741,141.3028,CBC Guesthouse
150,Dhangadhi,NP,88.9,clear sky,28.7079,80.5961,Hotel Bikas
